doi,dataCiteClientId,dataCiteClientName,publicationYear,resourceType,title,publisher,createdAt,updatedAt,isPublisher,isFunder,haveCreatorAffiliation,haveContributorAffiliation,isLatestVersion,isConceptDoi,matchPublisherRor,matchCreatorAffiliationRor,matchContributorAffiliationRor,matchFunderRor,matchPublisherName,matchCreatorName,matchContributorName,matchFunderName,inDataCite,inOpenAire,inOpenAlex,inCrossRef,openAireBestAccessRight,openAireIndicatorsUsageCountsDownloads,openAireIndicatorsUsageCountsViews,openAireId,openAlexId,openAlexCitedByCount,openAlexReferencedWorksCount,titleWordCount,referencedByDoi,dataCiteClientType
10.6084/m9.figshare.c.5204824.v1,figshare.ars,figshare Academic Research System,2020,Collection,Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:44:56Z,2024-08-16T06:48:56Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,19,,repository
10.6084/m9.figshare.13226311,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 1 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:25Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226317,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 3 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:25Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226311.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 1 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:26Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226314.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 2 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:26Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226314,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 2 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:28Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226317.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 3 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:32Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226320,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 4 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:32Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226320.v1,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 4 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:32Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
10.6084/m9.figshare.13226323,figshare.ars,figshare Academic Research System,2020,Dataset,Additional file 5 of Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,figshare,2020-11-12T04:47:32Z,2024-08-16T06:48:55Z,0,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,,,OPEN,,,,,,,23,,repository
